Maanyan;Indonesia
ulu ampatung yiru teka amas matueh;kepala patung itu dari emas tua
dada anri tanganni teka perak;dada dan lengannya dari perak
wuntung anri pingangni teka tambaga;perut dan pinggangnya dari tembaga
kahapangni teka jatang;pahanya dari besi
kude peeni mehe teka jatang pada meheni teka putak;sedangkan kakinya sebagian dari besi dan sebagian lagi dari tanah liat
padingian tuanku ninungni;sementara tuanku melihatnya
isa watu pakalungkit lapas puang daya tangan murunsia;sebuah batu terungkit lepas tanpa perbuatan tangan manusia
balalu ngatekan ampatung yiru tangar hang peeni sa teka jatang anri teka putak hampe ramuk;dan menimpa patung itu tepat pada kakinya yang dari besi dan tanah liat sehingga remuk
tawuk yiru pada jatang;pada saat itu juga remuklah besi
putak ina tau na ulah gusi;tanah liat ini bisa dibuat guci
maeh putak ina amun na ulah jari bana;bagus tanah liat ini kalau dibuat jadi benda
biasa ni hanye tuli hang putak;biasanya dia bermain di tanah liat
rama kawaiya tuli hang lewu;banyak anak-anak bermain di rumah
kawaiya tuli hang lewu betang;anak-anak bermain di rumah betang
amun hamen paajar ada tuli;kalau ingin belajar jangan bermain
amahku paajar bamobil hingkariwe;ayahku belajar mengendarai mobil kemarin
kawat ina naulah teka tambaga;kawat ini dibuat dari tembaga
perak na tau jari alat pembayaran sadi ru;perak ini dulu bisa menjadi alat pembayaran
tau kah hanyu ngalap perak hang lamari;bisakah kamu mengambil perak di lemari
sugih tuu ulun yiru;orang itu sangat kaya
lewu ni na ulah teka perak;rumahnya terbuat dari perak
teka awe hanyu haba perak yiru;dari mana kamu mendapatkan perak itu
perak na puang tau na kuta;perak ini tidak bisa dimakan
kawan peralatan kuman na naulah teka perak katuluhni;beberapa peralatan makan ini terbuat dari perak semua
anri amas yiru aku tau midi tane;dengan emas itu aku bisa membeli emas
katuluhni jari nyalah ape hang unengan piurehan hang masa kamarau;semuanya menjadi seperti sekam di tempat pengirikan pada musim panas
balalu siwui riwut mitah jendela;lalu angin mengembuskannya melalui jendela
hampe bakasni sika puang rasa;sehingga bekasnya pun tidak ditemukan
kude watu sa ngatekan ampatung yiru jari gunung hante sa nampenu katuluh gumi;tetapi batu yang menimpa patung itu menjadi gunung besar yang memenuhi seluruh bumi
yiru upi tuanku amun mandre;itulah mimpi tuanku kalau tidur
balalu taati kami sagar nahampe aratini ma tuanku raja;dan sekarang maknanya akan kami katakan kepada tuanku raja
ma tuanku alatalla hapus langit haut ngami karajaan;kepada tuanku allah semesta langit telah memberikan kerajaan
pemerintah na naan kakuasaan;pemerintah ini memiliki kekuasaan
aku tau welum na daya naami kakuaten teka tuhan;aku dapat hidup karena diberikan kekuatan dari tuhan
ma wuang tangan tuanku hanye haut nyarah kawan anak murunsia hang awe awe here muneng;ke dalam tangan tuanku ia telah menyerahkan anak-anak manusia di mana pun mereka berada
kawan situa hang tane laga anri kawan wurung hang langit;binatang binatang di padang dan burung burung di udara
palus tuanku naulah ni jari panguasa ma katuluhni yiru;dan tuanku dibuat nya menjadi penguasa atas semuanya itu
tuanku yina ulu ampatung teka amas yiru;tuankulah kepala patung dari emas itu
kude udi tuanku sagar hulet karajaan lain sa puang diwi hante teka karajaan tuanku;tetapi sesudah tuanku akan muncul kerajaan lain yang tidak lebih besardaripada kerajaan tuanku
udi yiru karajaan katelu;kemudian kerajaan ketiga
sa teka tambaga;yang dari tembaga
sagar bakuasa hang hapus gumi;akan berkuasa atas seluruh bumi
udi yiru sagar naan karajaan kaepat sa mape nyalah jatang;sesudah itu akan ada kerajaan keempat yang keras seperti besi
daya jatang nyanarai nelang nyanenuh katantuluh hal;karena besi meremukkan dan menghancurkan segala sesuatu
nyalah jatang sa ngulah lenuh lala;seperti besi yang menghancurluluhkan
kala yiru karajaan yina sagar ngulah ramuk nelang lenuh lala katuluhni;demikian kerajaan ini akan meremukkan dan menghancurluluhkan semuanya
nyalah sa dinung tuanku;seperti yang tuanku lihat
pee anri kawan kingkingni mehe teka putak tukang kenseng pada meheni teka jatang;kaki dan jari jarinya sebagian dari tanah liat tukang periuk dan sebagian lagi dari besi
aratini karajaan yiru tabagi;itu berarti kerajaan itu terbagi
tuu karajaan yiru mape nyalah jatang manyu paninungan tuanku jatang yiru bakamuh anri putak;memang kerajaan itu juga keras seperti besi sesuai dengan yang tuanku lihat besi itu bercampur dengan tanah liat
kude kala kawan kingking pee yiru meheni teka jatang meheni putak kala yiru pada meheni mape meheni maleme;tetapi sebagaimana jari jari kaki itu sebagian dari besi dan sebagian lagi dari tanah liat demikian kerajaan itu sebagian keras dan sebagian lagi rapuh
nyalah sa dinung tuanku;seperti yang tuanku lihat
jatang bakamuh anri putak;besi bercampur dengan tanah liat
yiru aratini here sagar bakamuh mitah piaduan;itu berarti mereka akan bercampur melalui perkawinan
kude puang sagar jari isa;tetapi tidak akan menjadi satu
nyalah jatang sa puang tau bakamuh anri putak;seperti besi yang tidak dapat bercampur dengan tanah liat
kude hang jaman kawan raja yiru;tetapi pada zaman raja raja itu
alatalla hapus langit sagar ngampinri isa karajaan sa puang sagar nasamawai hampe kalalawahni;allah semesta langit akan mendirikan suatu kerajaan yang tidak akan dihancurkan sampai selama lamanya
nelang kakuasaan puang sagar baidar lagi ma bummuh lain;dan kekuasaan tidak akan beralih lagi kepada bangsa lain
karajaan yiru sagar nyanramuk katuluh karajaan palus nangalisni;kerajaan itu akan meremukkan semua kerajaandan menghabisinya
kude karajaan yiru sagar minri ma kalalawahni;tetapi kerajaan itu sendiri akan tegak untuk selama lamanya
hal yiru sameh nyalah sa dinung tuanku;hal itu tepat seperti yang tuanku lihat
amun puang daya ulahan tangan murunsia isa watu pakalungkit lapas teka gunung watu palus nyanenuh jatang tambaga putak perak anri amas yiru;bahwa tanpa perbuatan tangan manusia sebuah batu terungkit lepas dari gunung dan meremukkan besi tembaga tanah liat perak dan emas itu
alatalla pangahante haut iwara ma tuanku raja inun sa sagar jari hang hanrian anrau;allah yang mahabesar telah memberitahukan kepada tuanku raja apa yang akan terjadi di kemudian hari
upi yiru bujur nelang aratini iuh naharap;mimpi itu benar dan maknanya dapat dipercaya
balalu raja nebukadnezar suntup nelang nyammah hi daniel;lalu sujudlah raja nebukadnezar dan menyembah daniel
hanye pada nitah umak ngami parapah anri kawan sa marauh enguh ma hi daniel;ia juga menitahkan untuk mempersembahkan kurban dan wangi wangian kepadanya
raja kaeau ma hi daniel;berkatalah raja kepada daniel
kapinuuni alatallanu yiru alatalla hang ammau katantuluh nanyu saniang nelang sa bakuasa ma katantuluh raja;sesungguhnya allahmu itu allah di atas segala ilah dan yang berkuasa atas segala raja
anri sa nguka kawan rahasia;dan yang menyingkapkan rahasia rahasia
daya hanyu kaiuh nguka rahasia yiru;sebab engkau dapat menyingkapkan rahasia itu
balalu raja nawat hi daniel nelang ngami ma hanye wahai tuu pangamian;lalu rajamemuliakandaniel dan menganugerahinya banyak pemberian besar
palus midi hanye jari panguasa ma katuluh wilayah babel nelang kapala katuluh ulun marahati hang babel;serta menjadikannya penguasa atas seluruh wilayah babel dan kepala semua orang bijaksana di babel
daya pilakuan daniel raja nyarah pamarentahan daerah babel ma hi sadrakh mesakh anri hi abednego kude hi daniel muneng hang istana raja;atas permintaan daniel raja menyerahkan pemerintahan wilayah babel kepada sadrakh mesakh dan abednego sedangkan daniel sendiri tinggal di istana raja
yiru puang tau na kuta;itu tidak dapat dimakan
bana yiru puang tau na ari;benda itu tidak dapat dijual
yiru puang tau na alap;itu tidak dapat diambil
yiru naan ampun ni;itu ada yang punya
hanyu puang tau nguta luwen yiru;kamu tidak bisa makan lauk itu
aku tau mambasa daya aku gaha paajar;aku bisa membaca karena aku sering belajar
amun hanyu kauyuhan ware mandre;kalau kamu kelelahan lebih baik tidur
aku puang tau manre;aku tidak bisa tidur
tuu marisak andrau ina;dingin sekali hari ini
itak hinang manre amun kauyuhan;nenek cepat tidur kalau kecapekan
hinang hawi ma lewu;cepat dapatng ke rumah
aku hawi hinang nampan puang tatanan;aku datang cepat supaya tidak ketinggalan
aku manre penah anrau neen;aku tidur tengah hari tadi
hingkariwe itak puang tau manre;kemaren nenek tidak dapat tidur
hi ani manre daya haut kamalem;si adik tidur karena sudah malam
joko puang tau ngalap jaka daya kauyuhan;joko tidak bisa menjemput jaka karena kecapekan
terima kasih tuhan daya hanyu gutus ngami rajaki ma kami;terima kasih tuhan karena engkau senantiasa memberikan reseki pada kami
terima kasih daya hanyu haut ngarawah aku;terima kasih karena kamu sudah menolong aku
aku antuh terima kasih ma katuluh;aku ucapkan terima kasih untuk semua
hene ulun antuh terima kasih;banyak orang ucap terima kasih
aku kasungu andri hanyu;aku rindu kamu
aku kasungu hamen mudi ma tumpuk natat;aku rindu ingin pulang ke kampung halaman
hanyu na lawah puang tulak ngume;kamu ini lama tidak pergi bersawah
aku andri hanyu ai sa tau tulak;aku sama kamu saja yang bisa pergi
ulun ina sa haut ngami racun ma antahu yiru;orang ini yang sudah memberikan racun pada anjing itu
ekat ami udut ai ma hanye;cukup beri rokok saja pada dia
iti naan kisah;ini ada cerita
kisah tawuk sadi;kisah jaman dulu
hi ape tulak nikep;si ape pergi menangkap ikan
bulu hanye tawang;lalu dia tersesat
hi ape sakia-kia, hampe lewu ulun;si ape berjalan, sampai rumah orang
lewu itak gumer, baya kakah gumer;rumah nenek gumer, dengan kakek gumer
amai, amai umpu, eyau itak gumer;naik, naik cucu, kata nenek gumer
hi ape balalu mamai palus naami pama;si ape lalu naik langsung diberi pakaian
bere tuu pama ina;kotor sekali pakaian ini
hi ape nahuyu nuen nelang padangan;si ape disuruh memasak sambil menunggu
itak gumer kakah gumer tulak lepuh mutu;nenek gumer kakek gumer pergi untuk menumbuk
lengan silu itak gumer;suara telinga nenek gumer
lengan silu kakah gumer;suara telinga kakek gumer
ragak ragak kihi ape;si ape tertawa
inun na kihi nu umpu;apa yang kamu tertawakan cucu
aku kakihi manu ipanapi;aku tertawa karena ayam sedang kawin
luwen kamalem na sop manu;lauk malam ini adalah sop ayam
hanyu puang karasa wangun ulun matueh;kamu tidak tahu keadaan orang tua
inaku hanyu haut karasa acara yina;ku kira kamu sudah tau acara ini
hanyu laku telu wua ruyan;kamu minta tiga buah durian
daya inun hanyu tau ngulah aku hanang atei;kenapa kamu bisa membuatku sakit hati
hanyu na ulun maeh daya hanyu ngarawah ulun;kamu ini orang baik karena menolong orang
hanyu tau sakulah daya ulun matueh;kamu bisa sekolah karena orang tua
aku tulak daya hanye katuju laku duit;aku pergi karena dia suka meminta uang
daya hanyu mekum jari puang usah minau;karena kamu demam jadi tidak usah hadir
anrau jumahat yari aku ngayak hanye pasiar ma kasongan;hari jum'at kemarin aku mengajak dia jalan-jalan ke kasongan
rencana ni senanyan aku ngayak hanyu pasiar;rencananya senin aku mengajak kamu jalan-jalan
hanyu sa ngayak aku ma yaru;kamu yang mengajak aku ke sana
aku ngayak pasiar daya hanyu naan duit;aku mengajak jalan-jalan karena kamu ada uang
ngayak ulun rama ma uneng wisata;mengajak orang banyak ke tempat wisata
andrau jumahat yari aku ngayak kawan hengau ma karuing;hari jum'at lalu aku mengajak teman-teman ke karuing
tau aku ngayak amun naan duit;bisa aku mengajak kalau ada uang
hi ineh ngayak ngume daya aku mahi gawian;ibu mengajak aku bersawah karena aku tidak ada kerjaan
here rueh babur daya wawei;mereka berdua berkelahi karena perempuan
aku naan gawian andrau ina;aku ada kerjaan hari ini
aku katuju andri hanyu;aku suka sama kamu
hanye katuju ngulah ulun kakihi;dia suka membuat orang tertawa
dainun aku hingka malem puang tau mandre;kenapa aku tadi malam tidak bisa tidur
dainun hanyu tulak puang iwara ma aku;kenapa kamu pergi tidak bilang ke aku
naan kegiatan upacara andrau senanyan na;ada kegiatan upacara hari senin ini
aku hamen tulak ma palangka anrau selasa;aku ingin pergi ke palangka hari selasa
toko yina tutup andrau araba;toko ini tutup di hari rabu
hanyu puang tau tulak ma yaru amun puang andrau kamis;kamu tidak bisa pergi ke sana kalau bukan hari kamis
hene ulun ngari kenah pas andrau jumahat;banyak orang menjual ikan ketika hari jum'at
mahi ulun bagawi amun andrau sabtu;tidak ada orang yang bekerja jika hari sabtu
tulak ma gereja tiap andrau minggu;pergi ke gereja setiap hari minggu
amun lewuku na hang tuhi kawi;kalau rumahku di sebelah kiri
mitah bundaran palus ma tuhi kawan amun hamen ma banjarmasin;melalui bundaran langsung ke sebelah kanan kalau ingin ke banjarmasin
sadi ru amun hamen ngantara kayu pakai wadiung;dulu jika ingin mencari kayu menggunakan kapak
hang tuhi kawan yaru naan ulun ngari ruyan;di sebelah kanan sana ada orang menjual durian
hanyu tulak ma puskesmas;kamu pergi ke puskesmas
dainun hanyu sangit;kenapa kamu marah
hanyu sa harus ngatet itak;kamu yang harus mengantar nenek
aku puang tau sangit andri hanyu;aku tidak bisa marah sama kamu
sangit ulun amun hanyu mandre hang luar;orang akan marah kalau kamu tidur di luar
arai ateiku amun naami duit;senang hatiku jika diberi uang
puung hanye daya puang na ayak pasiar;dia merajuk karena tidak diajak jalan-jalan
hanye na puang kataru daya masih kawaiya;dia tidak mengerti karena dia masih anak-anak
takam na harus menjaga silaturahmi antar pulaksanai;kita harus menjaga silaturahmi antar saudara
kami na masih huan narangan;kami masih belum menikah
here na sabujurni tau ngarawah;mereka ini sebenarnya bisa membantu
inun ulahnu hang jembatan hingkariwe;kamu sedang apa di jembatan kemaren
hiye sa ngulah hanyu hanang atei;siapa yang membuatmu sakit hati
kaawe amun takam tulak ma banjarmasin;bagaimana kalau kita pergi ke banjarmasin
hang awe hanyu na itati;di mana kamu sekarang
hang awe lewu nu;di mana rumah mu
aku ngami kutaan ma iwek hang kandang;aku memberi makanan pada babi di kandang
mahi ulun hang yaru;tidak ada orang di sana
ari tapatanan dompetku hang lewu;aduh ketinggalan dompetku di rumah
ari rami ulun hang tumpuk na;aduh ramai orang di kampung ini
motorku tapatanan hang bengkel daya aku tulak uma hengau;motorku ketinggalan di bengkel karena aku pergi ikut temanku
hang awe hanyu kahaba ruyan na;di mana kamu menemukan durian ini
hantek awe hanyu tulak;kapan kamu pergi
daya inun hanye puang suah ma yina;kenapa dia tidak pernah ke sini
permisi aku na hamen ma lewu kakahku;permisi aku ingin pergi ke rumah kakekku
aku laku maaf amun naan panderku sa ngulah hanang atei;aku minta maaf jika ada perkataanku yang membuat sakit hati
aku hamen nunti;aku mau tanya
aku laku karawah;aku minta tolong
aku wau paajar bahasa maanyan;aku baru belajar bahasa maanyan
taati ru uyuh ngantara gawian sa sesuai;sekarang ini sulit untuk mencari pekerjaan yang sesuai
kiuni aku ngume hang uneng kakahku;besok aku akan berladang di tempat kakekku
erang pitus ai amun hanyu hamen ngulah surat;sebentar saja kalau kamu ingin membuat surat
ada hanyu puang babujur sakulah;jangan kamu tidak serius dalam bersekolah
amun kamalem puang rami;kalau malam tidak ramai
puang kaitung aku ngumpe nahi sa wangi na;aku tidak ingat membuang nasi yang basi ini
aku hamen midi weah andri ruyan;aku ingin membeli beras dan durian
aku haut hame kasongan kaandrau neen;aku sudah sampai di kasongan siang tadi
hanyu huan tulak ma palangka;kamu belum pergi ke palangka
adiyau ulun ina;bangsat orang ini
kaiyat nien aku wuah sangit guru daya puang menggawi tugas;tadi pagi aku dimarahi guru karena tidak mengerjakan tugas
hanye na puung daya aheng ni puang na rengei;dia merajuk karena keinginannya tidak didengar
amun hanyu ma hutan panalu alimatek;kalau kamu ke hutan akan bertemu lintah
amahku sadi tulak sakulah ekat takia;ayahku dulu pergi ke sekolah cuma jalan kaki
amai leh puang malu;naik saja tidak apa apa
amangan aku amun panalu ulun sa puang ku kataru;aku malu kalau bertemu orang yang tidak ku kenal
amau tuu upu yina;tinggi sekali pria ini
amun hanyu nguta kutaan sa mahi karbohidrat hanyu puang tau amedeh die;kalau kamu makan makanan yang tidak ada karbohidrat kamu tidak bisa buang air besar nanti
nguta singkong na tau ngulah ameput;makan singkong dapat membuat buang angin
here kantor puang tau ngami surat amun hanyu puang ngami berkas administrasi sa na perlukan;pihak kantor tidak bisa mengeluarkan surat jika kamu tidak memberikan berkas administrasi yang diperlukan
amun hanyu ma kota palangka uma travel hanyu puang tau sindrah amini;jika kamu ke kota palangka menggunakan travel kamu tidak bisa singgah untuk buang air kecil
aku amput ngari tane amun hanyu puang ngami aku berkas ni;aku sekalian menjual tanah kalau kamu tidak memberiku berkarnya
amun hanyu puang panai membasa hanyu sa rugi die;kalau kamu tidak pintar membaca maka kamu nanti rugi
andrau ina malaing tuu;hari ini panas sekali
ang sa aku amun na huyu ngulah lewu reerai;aku tidak mau kalau aku disuruh membangun rumah
angidadakai tuu hanyu bapander na;kamu berbicara tidak karuan
angkading dahulu udi ngume daya kauyuhan;rebahan dulu setelah berladang karena kelelahan
aku ninung antahu yiru angkeng hang pagar;aku melihat anjing itu tersangkut di pagar
ani ku na kai kuliah taun hadap;adikku akan berkuliah tahun depan
ani ku neen ru tulak ma tamiang lepuh ngurus sim ni;adikku tadi pergi ke tamiang untuk mengurus sim
daya ekat aku reerai hang lewu; karena aku sendirian di rumah
ada hanyu ma wungei die na patuk anipe;kamu jangan ke semak semak nanti digigit ular
andri arai atei takam katuluhi;dengan senang hati kita semuanya
puang suah aku dinung antahu yina;aku tidak pernah melihat anjing ini
arai tuu hi ani daya haut naan motor;senang sekali adikku karena sudah mempunyai motor
ada na ari tane yiru daya naan ampun ni;jangan jual tanah itu karena ada pemiliknya
ariai aku karasa amun hanyu haut badarangan;baru saja aku tau kalau kamu sudah punya pasangan
hanang ateiku daya puang na tarime hang sekolah dinas;sakit hariku karena tidak diterima di sekolah dinas
laku awat ngalap weah hang lewu kakah die lah;minta tolong untuk mengambil beras nanti di rumah kakek
aku laku awat die lah;nanti aku minta tolong ya
hene ulun babur daya ngantara amas hang yina;banyak orang berkelahi karena mencari emas di sini
